EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;Línea Código;Línea Descripción;Estado Elemento Inventario;Modelo;Id. Raíz;Tipo Aparato Dilatación;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
12108;Caspe - VIA;AD-3-71108;85267;VIA 3 DE LA ZAIDA-SASTAGO;396,717;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;;100005522;Tipo Aparato Dilatación - AD Genérico Tipo A;100452199;022100040;LA CARTUJA-AGUJA KM. 351,1-LA ZAIDA-SASTAGO                                                                                     ;396,588;397,325
12108;Caspe - VIA;AD-3-71108;85267;VIA 3 DE LA ZAIDA-SASTAGO;397,238;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;;100005522;Tipo Aparato Dilatación - AD Genérico Tipo A;100452200;022100040;LA CARTUJA-AGUJA KM. 351,1-LA ZAIDA-SASTAGO                                                                                     ;396,588;397,325
12108;Caspe - VIA;AD-3-71207;85320;VIA 3 DE NONASPE;480,362;210;MIRAFLORES - SANT VICENÇ DE CALDERS;En Servicio/Mantenible;;100005575;Tipo Aparato Dilatación - AD Genérico Tipo A;100452198;022100090;CASPE-FAIO-LA POBLA DE MASSALUCA                                                                                                ;479,717;480,458
12106;Zaragoza - VIA;AD-4-5.848;86197;VIA 4 DE COGULLADA;5,848;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;En Servicio/Mantenible;AD MARTINET RN 45;100006452;Tipo Aparato Dilatación - Martinet RN 45;31994;022000290;MIRAFLORES-AGUJA KM. 0,9-COGULLADA                                                                                              ;5,65;6,127
12105;Ricla-La Almunia - VIA;AD-I-0.342;200260;GRISEN-CABAÑAS DE EBRO, I;0,342;702;GRISEN-CABAÑAS DE EBRO;En Servicio/Mantenible;;100007281;Tipo Aparato Dilatación - AD Genérico Tipo A;31065;027020010;GRISEN-CABAÑAS DE EBRO                                                                                                          ;0,286;5,933
14111;L Hospitalet - VIA;AD-U-0.263;3200;AEROPUERTO DEL PRAT-EL PRAT DE LLOBREGAT, U;0,263;254;EL PRAT DE LLOBREGAT-AEROPORT;En Servicio/Mantenible;;100000108;Tipo Aparato Dilatación - AD Genérico Martinet;100451620;022540010;AEROPORT-EL PRAT DE LLOBREGAT                                                                                                   ;0,;6,984
14121;Port Bou;AD-U-2.600;200073;VILAMALLA - FIGUERES VILAFANT, U (ANCHO MIXTO);2,6;260;VILAMALLA - FIGUERES VILAFANT;En Servicio/Mantenible;ADH-P-60-340;696336;Tipo Aparato Dilatación - AD Genérico Tipo A;100451947;022600005;VILAMALLA-FIGUERES-VILAFANT                                                                                                     ;1,134;6,4
14111;L Hospitalet - VIA;AD-1-13,802;3190;AG 11 CASTELLBISBAL AGUJAS LLOBREGAT- BARCELONA MORROT, I, (ANCHO MIXTO);13,802;238;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;En Servicio/Mantenible;ADM-H-3HD-60-500;100000104;;1402448;022380020;RIU LLOBREGAT-BARCELONA-CAN TUNIS                                                                                               ;6,18;20,5
14111;L Hospitalet - VIA;AD-1-13.126;3190;AG 11 CASTELLBISBAL AGUJAS LLOBREGAT- BARCELONA MORROT, I, (ANCHO MIXTO);13,126;238;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;En Servicio/Mantenible;;100000104;;1402461;022380020;RIU LLOBREGAT-BARCELONA-CAN TUNIS                                                                                               ;6,18;20,5
14111;L Hospitalet - VIA;AD-1-14,728;3190;AG 11 CASTELLBISBAL AGUJAS LLOBREGAT- BARCELONA MORROT, I, (ANCHO MIXTO);14,728;238;CASTELLBISBAL-AGUJAS LLOBREGAT - BARCELONA-MORROT;En Servicio/Mantenible;;100000104;;1402421;022380020;RIU LLOBREGAT-BARCELONA-CAN TUNIS                                                                                               ;6,18;20,5
