EQM1 Código;EQM1;EQM2 Código;EQM2;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Tipo;Estado Elemento Inventario;Modelo;Descripción Elemento Inventario;Escape;Entreeje (sólo escapes) (mm);Posicionado en Curva;Orientación;Mano;Fecha de Modificación;Coordenada X ED50-HUSO 30 EXTENDIDO;Coordenada Y ED50-HUSO 30 EXTENDIDO;Id. Inventario;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14116;Vic - VIA;;;DS-1-77109 (VIC);3500;MONTCADA BIF.-LES FRANQUESES DEL VALLES-VIC, U;68,667;;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DSH-P1-60-318-0,09-CR-I-TC;;Sí;;No;Punta;Izquierda;07/11/2024;93532402,;465567020,;100672817;LA GARRIGA-VIC                                                                                                                  ;37,677;68,667
14116;Vic - VIA;;;DS-2-77109 (VIC);3600;VIC-RIPOLL, U;69,335;;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-0,09-CR-D;;No;;No;Talón;Derecha;07/11/2024;93526723,3;465623825,12;949106;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
14116;Vic - VIA;;;DS-3-77109 (VIC);604031;VIA 1/2 DE VIC;68,802;;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-0,09-CR-I;;Sí;;No;Talón;Izquierda;07/11/2024;;;100672819;LA GARRIGA-VIC                                                                                                                  ;68,732;68,802
14116;Vic - VIA;;;DS-4-77109 (VIC);85941;VIA 4T DE VIC;69,241;;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-0,09-CR-I;;No;;No;Talón;Izquierda;07/11/2024;;;100672820;LA GARRIGA-VIC                                                                                                                  ;68,809;69,241
14116;Vic - VIA;;;DS-5-77109 (VIC);3500;MONTCADA BIF.-LES FRANQUESES DEL VALLES-VIC, U;68,667;;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DSH-P1-60-318-0,09-CR-D-TC;;No;;No;Punta;Derecha;07/11/2024;93532402,;465567020,;100672821;LA GARRIGA-VIC                                                                                                                  ;37,677;68,667
14116;Vic - VIA;;;DS-6-77109 (VIC);3600;VIC-RIPOLL, U;69,241;;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-0,09-CR-I;;No;;No;Talón;Izquierda;07/11/2024;93529957,02;465616393,69;949087;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
14116;Vic - VIA;;;DS-7-77109 (VIC);85937;VIA 2 DE VIC;68,809;;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-0,09-CR-I;;No;;No;Punta;Izquierda;07/11/2024;;;949028;LA GARRIGA-VIC                                                                                                                  ;68,515;69,284
14116;Vic - VIA;;;DS-8-77109 (VIC);85941;VIA 4T DE VIC;69,241;;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-0,09-CR-I;;No;;No;Punta;Izquierda;07/11/2024;;;949066;LA GARRIGA-VIC                                                                                                                  ;68,809;69,241
14116;Vic - VIA;;;DS-9-77109 (VIC);85938;VIA 6T DE VIC;68,872;;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Desvío sencillo con corazón de punta fija;En Servicio/Mantenible;DS-C-54-318-0,09-CR-I;;Sí;;No;Punta;Izquierda;07/11/2024;;;100679272;LA GARRIGA-VIC                                                                                                                  ;68,872;69,335
13114;Mora La Nova- VIA;;;DS-1-71210 (FLIX);2400;MIRAFLORES-REUS, U;511,886;;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;En Servicio/Mantenible;;DS-1-FLIX;No;;Sí;Talón;Izquierda;07/12/2015;79717718,88;457045108,84;100669974;FLIX-MORA LA NOVA                                                                                                               ;511,627;531,315
