EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Subtipo;Estado Elemento Inventario;Modelo;Fabricante;Descripción Elemento Inventario;Fecha de Servicio;Matrícula;Fecha de fabricación;Observaciones;Fecha de instalación;Identificador Antecesores;Id. Raíz;Tipo Encarriladora;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14116;Vic - VIA;EN-3500-34,7;3500;MONTCADA BIF.-LES FRANQUESES DEL VALLES-VIC, U;34,7;;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;Sencilla;En Servicio/Mantenible;EN-54;;;;;;EN-U-034,700;;MONTCADA BIF.-LES FRANQUESES DEL VALLES-VIC, U->EN-3500-34,7;100000117;;967648;022220030;LES FRANQUESES DEL VALLES-LA GARRIGA                                                                                            ;31,388;37,677
12111;Huesca - VIA;EN-2510-97,93;2510;HOYA DE HUESCA-JACA, U;97,93;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;05/03/2004;60.995.300;;EN-U-97.930;04/03/2004;HOYA DE HUESCA-JACA, U->EN-2510-97,93;100000078;Tipo Encarriladora - Larga Elástica;100462543;022040040;SANTA MARIA Y LA PEÑA-JACA                                                                                                      ;53,594;110,524
12111;Huesca - VIA;EN-2510-97,99;2510;HOYA DE HUESCA-JACA, U;97,99;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;12/03/2004;60.995.300;;EN-U-97.990;11/03/2004;HOYA DE HUESCA-JACA, U->EN-2510-97,99;100000078;Tipo Encarriladora - Larga Elástica;100462544;022040040;SANTA MARIA Y LA PEÑA-JACA                                                                                                      ;53,594;110,524
12111;Huesca - VIA;EN-2520-20,17;2520;JACA-CANFRANC, U;20,17;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;03/03/2004;;;EN-U-20.170;01/03/2004;JACA-CANFRANC, U->EN-2520-20,17;100000079;Tipo Encarriladora - Larga de Tirafondos;968341;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;EN-2520-21,55;2520;JACA-CANFRANC, U;21,55;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;20/03/2004;;;EN-U-21.550;20/03/2004;JACA-CANFRANC, U->EN-2520-21,55;100000079;Tipo Encarriladora - Larga de Tirafondos;100462564;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;EN-2520-5,213;2520;JACA-CANFRANC, U;5,213;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;;60.995.300;;EN-U-5.213;;JACA-CANFRANC, U->EN-2520-5,213;100000079;;968167;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;EN-2520-5,271;2520;JACA-CANFRANC, U;5,271;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;01/01/2004;;;EN-U-5.271;31/12/2003;JACA-CANFRANC, U->EN-2520-5,271;100000079;;968193;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;EN-2520-5,923;2520;JACA-CANFRANC, U;5,923;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;27/02/2004;60.995.300;;EN-U-05.923;26/02/2004;JACA-CANFRANC, U->EN-2520-5,923;100000079;Tipo Encarriladora - Larga Elástica;100462547;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;EN-2520-6,043;2520;JACA-CANFRANC, U;6,043;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;20/02/2004;60.995.300;;EN-U-06.043;19/02/2004;JACA-CANFRANC, U->EN-2520-6,043;100000079;Tipo Encarriladora - Larga Elástica;100462545;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;EN-2520-6,094;2520;JACA-CANFRANC, U;6,094;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;04/03/2004;60.995.300;;EN-U-06.094;03/03/2004;JACA-CANFRANC, U->EN-2520-6,094;100000079;Tipo Encarriladora - Larga Elástica;100462539;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;EN-2520-6,152;2520;JACA-CANFRANC, U;6,152;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;12/03/2004;60.995.300;;EN-U-06.152;11/03/2004;JACA-CANFRANC, U->EN-2520-6,152;100000079;Tipo Encarriladora - Larga Elástica;100462546;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;EN-2520-6,279;2520;JACA-CANFRANC, U;6,279;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;19/03/2004;60.995.300;;EN-U-06.279;17/03/2004;JACA-CANFRANC, U->EN-2520-6,279;100000079;Tipo Encarriladora - Larga Elástica;967068;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;EN-2520-6,339;2520;JACA-CANFRANC, U;6,339;;204;2 ;BIF. CANFRANC - CANFRANC;Sencilla;En Servicio/Mantenible;EN-54;;;19/03/2004;60.995.300;;EN-U-06.339;18/03/2004;JACA-CANFRANC, U->EN-2520-6,339;100000079;Tipo Encarriladora - Larga Elástica;100462540;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
