EQM1 Código;EQM1;EQM3;Identificador Elemento Inventario;Vía;PK Inicial;PK Final;Línea Código;Línea Descripción;Longitud total OP (m);Nº vanos/conductos total OP (ud);Denominación;Luz máxima de vano/conducto (m) ;PK Histórico (Km);Velocidad Máxima ferroviaria (Km/h);Observaciones;Código Ingrid;Fecha de Modificación;Usuario de Modificación;Canto Máximo Tablero (m.);Nº Vías;Esviaje;Gálibo Izquierdo (m.);Gálibo Derecho (m.);Ripabilidad Vertical;Entre Ejes Vía (m.);Temperatura Media (ºC);Precipitacion Media Anual (mm.);Muro Guardabalasto;Juntas;Polivalente;Balasto;Vía Electrificada;Drenaje;Acero Corten;Suma de luces de vanos;Material puente;Tipo Tramo Puente;Ubicación Paseos Servicio;Pretiles o Barandillas;Tipo Acceso;Tipo Entorno;Tipo Tramo Base;Sujeción Traviesa Puente;Tipo Sujeción Carril Puente;Tipo Traviesa Puente;Tipo Carril Puente;Tipo Encarriladora;Tipo Posicion Tablero;Capacidad portante;Validado;Gálibo - Ancho estándar (1435);Gálibo - Ancho ibérico (1668);Gálibo - Ancho métrico (1000);Apoyo;Barandilla;Junta de dilatación;Número de estribos;Número de pilas;Coordenada X ED50-HUSO 30 EXTENDIDO;Coordenada Y ED50-HUSO 30 EXTENDIDO;Coordenada X_F ED50-HUSO 30 EXTENDIDO;Coordenada Y_F ED50-HUSO 30 EXTENDIDO;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
12111;Huesca - VIA;;OPF - 204 - 2520 - ISUEZ - 5,24;JACA-CANFRANC, U;5,24;;204;BIF. CANFRANC - CANFRANC;30,;1;ISUEZ;29,26;5,24;70;;JC/CF-005240;27/06/2018;INGRID;3,3;1;Sí;1,7;1,7;No;1,8;;;No;Sí;No;No;No;No;No;29,86;Metálico;Metal. Celosía Pratt;Ambos lados;Ambos lados;Vehículo Automóvil;Rural;Metalico. Roblonado;Angulares;Placa y tirafondos;Madera;45;Corta 12m;Superior;C2;Sí;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70160900,;472204589,02;70160900,;472207575,02;100017128;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;;OPF - 204 - 2510 - PONTON - 8,63;HOYA DE HUESCA-JACA, U;8,63;;204;BIF. CANFRANC - CANFRANC;6,;1;PONTON;3,5;8,63;Sin definir;;HS/JC-008630;27/06/2018;INGRID;;1;No;;;No;1,8;15,;750,;No;No;No;Sí;No;No;No;4,6;Fábrica;Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70717257,;467186808,;70717257,;467186808,;106350107;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 6,68;HOYA DE HUESCA-JACA, U;6,68;;204;BIF. CANFRANC - CANFRANC;5,5;1;PORTICO;0,7;6,68;Sin definir;;HS/JC-006680;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70899011,;467075059,;70899011,;467075059,;1043979;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 6,93;HOYA DE HUESCA-JACA, U;6,93;;204;BIF. CANFRANC - CANFRANC;5,5;1;PORTICO;0,7;6,93;Sin definir;;HS/JC-006930;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70875561,;467094364,;70875561,;467094364,;1043980;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 7,18;HOYA DE HUESCA-JACA, U;7,18;;204;BIF. CANFRANC - CANFRANC;5,5;1;PORTICO;0,7;7,18;Sin definir;;HS/JC-007180;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70852170,;467113741,;70852170,;467113741,;1043981;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 8,69;HOYA DE HUESCA-JACA, U;8,69;;204;BIF. CANFRANC - CANFRANC;12,54;1;PORTICO;0,72;8,69;Sin definir;;HS/JC-008690;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70714023,;467190375,;70714023,;467190375,;1044469;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 9,17;HOYA DE HUESCA-JACA, U;9,17;;204;BIF. CANFRANC - CANFRANC;5,65;1;PORTICO;0,75;9,17;Sin definir;;HS/JC-009170;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70687599,;467218401,;70687599,;467218401,;1044460;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 9,67;HOYA DE HUESCA-JACA, U;9,67;;204;BIF. CANFRANC - CANFRANC;6,34;1;PORTICO;0,85;9,67;Sin definir;;HS/JC-009670;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70644847,;467249030,;70644847,;467249030,;1044457;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
14117;Ripoll - VIA;;OPF - 222 - 3610 - RIO TER - ,604;RIPOLL-LA TOUR DE CAROL, U;0,604;;222;LA TOUR DE CAROL - BIF. AIGÜES;1453,6;6;RIO TER;20,7;0,604;125;;RI/TC-000604;28/10/2024;ACT_LUZ_VANOS_PUENTES;1,3;1;Sí;1,5;1,5;No;1,8;13,;700,;Sí;No;No;Sí;Sí;No;No;22,;HA;Hormigón. Bóveda rebajada tímpanos aligerados;Izquierdo;Ambos lados;Vehículo Automóvil;Urbano;Hormigón. Hormigón armado;;Vossloh;Madera;54;No hay;Superior;Sin definir;Sí;No aplica;Desconocido;No aplica;Sí;Sí;No;2;5;92874122,;468499401,;92874122,;468499401,;857519;022220070;RIPOLL-RIBES DE FRESER                                                                                                          ;0,;13,45
12111;Huesca - VIA;;OPF - 204 - 2510 - PONTON - 18,454;HOYA DE HUESCA-JACA, U;18,454;;204;BIF. CANFRANC - CANFRANC;6,;1;PONTON;3,55;18,454;Sin definir;;HS/JC-018454;27/06/2018;INGRID;;1;No;;;No;;;;No;No;No;No;No;No;No;3,6;Fábrica;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;69868591,;467609773,;69868591,;467609773,;106350111;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PONTON - 30,991;HOYA DE HUESCA-JACA, U;30,991;;204;BIF. CANFRANC - CANFRANC;5,;1;PONTON;3,5;30,991;Sin definir;;HS/JC-030991;27/06/2018;INGRID;;1;No;;;No;1,8;15,;750,;No;No;No;No;No;No;No;3,5;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;69173999,;467995550,;69173999,;467995550,;106350116;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 10,52;HOYA DE HUESCA-JACA, U;10,52;;204;BIF. CANFRANC - CANFRANC;9,62;1;PORTICO;0,85;10,52;Sin definir;;HS/JC-010520;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70588366,;467328812,;70588366,;467328812,;1044464;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 11,41;HOYA DE HUESCA-JACA, U;11,41;;204;BIF. CANFRANC - CANFRANC;6,69;1;PORTICO;0,75;11,41;Sin definir;;HS/JC-011410;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70520321,;467390234,;70520321,;467390234,;1044465;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 11,85;HOYA DE HUESCA-JACA, U;11,85;;204;BIF. CANFRANC - CANFRANC;10,22;1;PORTICO;0,8;11,85;Sin definir;;HS/JC-011850;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70485069,;467416564,;70485069,;467416564,;1044466;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 13,61;HOYA DE HUESCA-JACA, U;13,61;;204;BIF. CANFRANC - CANFRANC;5,69;1;PORTICO;0,8;13,61;Sin definir;;HS/JC-013610;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70344206,;467522019,;70344206,;467522019,;1044467;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 13,73;HOYA DE HUESCA-JACA, U;13,73;;204;BIF. CANFRANC - CANFRANC;5,65;1;PORTICO;0,75;13,73;Sin definir;;HS/JC-013730;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70333713,;467527840,;70333713,;467527840,;1044468;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 16,18;HOYA DE HUESCA-JACA, U;16,18;;204;BIF. CANFRANC - CANFRANC;5,74;1;PORTICO;0,75;16,18;Sin definir;;HS/JC-016180;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;70093144,;467572125,;70093144,;467572125,;1069636;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 18,66;HOYA DE HUESCA-JACA, U;18,66;;204;BIF. CANFRANC - CANFRANC;10,65;1;PORTICO;0,8;18,66;Sin definir;;HS/JC-018660;27/06/2018;INGRID;;1;No;;;No;1,8;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;69848209,;467613091,;69848209,;467613091,;1069634;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 18,92;HOYA DE HUESCA-JACA, U;18,92;;204;BIF. CANFRANC - CANFRANC;5,6;1;PORTICO;0,75;18,66;Sin definir;;HS/JC-018920;27/06/2018;INGRID;;1;No;;;No;1,8;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;69822480,;467617241,;69822480,;467617241,;1069633;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 20,32;HOYA DE HUESCA-JACA, U;20,32;;204;BIF. CANFRANC - CANFRANC;5,98;1;PORTICO;0,5;20,32;Sin definir;;HS/JC-020320;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;69682962,;467622253,;69682962,;467622253,;1069678;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 21,31;HOYA DE HUESCA-JACA, U;21,31;;204;BIF. CANFRANC - CANFRANC;6,36;1;PORTICO;0,7;21,31;Sin definir;;HS/JC-021310;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;No;Sí;No;2;0;69585726,;467611779,;69585726,;467611779,;1069680;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
12111;Huesca - VIA;;OPF - 204 - 2510 - PORTICO - 21,38;HOYA DE HUESCA-JACA, U;21,38;;204;BIF. CANFRANC - CANFRANC;8,15;2;PORTICO;1,45;21,38;Sin definir;;HS/JC-021380;27/06/2018;INGRID;;1;No;;;No;1,75;15,;750,;No;No;No;No;No;No;No;;Sin definir (A extinguir);Sin definir;Sin definir;Sin definir;Vehículo Automóvil;Rural;Sin definir;;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;Sin definir;No;No aplica;Desconocido;No aplica;Sí;Sí;No;2;1;69579526,;467608467,;69579526,;467608467,;1069681;022040020;HOYA DE HUESCA-AGUJA KM. 2,3-AYERBE                                                                                             ;0,8;34,96
