EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Descripción;Obras de paso;Lado;Estado Elemento Inventario;Altura máxima del talud (m);Elemento anterior de infraestructura;Longitud (m);Elemento posterior de infraestructura;Fecha de Modificación;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14116;Vic - VIA;TER_L222_VIC-RIPOLL, U_80-80,226_D;3600;VIC-RIPOLL, U;80,;80,226;222;LA TOUR DE CAROL - BIF. AIGÜES;0;Derecho;En Servicio/Mantenible;7,7;(1045236)DES_L222_VIC-RIPOLL, U_79,877-79,92_D;226;(107208492)DES_L222_VIC-RIPOLL, U_80,315-80,44_D;;190008302;022220050;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
14116;Vic - VIA;TER_L222_VIC-RIPOLL, U_84-84,211_D;3600;VIC-RIPOLL, U;84,;84,211;222;LA TOUR DE CAROL - BIF. AIGÜES;0;Derecho;En Servicio/Mantenible;15,;(857501)PU - VIC-RIPOLL, U - 83,681;211;(100016733)PU - VIC-RIPOLL, U - 84,271;;190008315;022220050;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
12111;Huesca - VIA;TER_L204_JACA-CANFRANC, U_4,896-5_I;2520;JACA-CANFRANC, U;4,896;5,;204;BIF. CANFRANC - CANFRANC;0;Izquierdo;En Servicio/Mantenible;8,2;(107094714)TU  - 4 - JACA-CANFRANC, U - 4,818 - 4,872;104;(190031723)TER_L204_JACA-CANFRANC, U_5,104-5,224_I;;190031722;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
14117;Ripoll - VIA;TER_L222_VIC-RIPOLL, U_93,65-93,8_I;3600;VIC-RIPOLL, U;93,65;93,8;222;LA TOUR DE CAROL - BIF. AIGÜES;1;Izquierdo;En Servicio/Mantenible;2,;(190008341)TER_L222_VIC-RIPOLL, U_93,32-93,53_I;150;(107208480)DES_L222_VIC-RIPOLL, U_94,12-94,184_I;;190008342;022220050;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
14117;Ripoll - VIA;TER_L222_VIC-RIPOLL, U_96,42-96,6_D;3600;VIC-RIPOLL, U;96,42;96,6;222;LA TOUR DE CAROL - BIF. AIGÜES;0;Derecho;En Servicio/Mantenible;3,;(190008374)TER_L222_VIC-RIPOLL, U_95,49-95,61_D;180;(190008349)TER_L222_VIC-RIPOLL, U_97,05-97,115_D;;190008375;022220050;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
12111;Huesca - VIA;TER_L204_JACA-CANFRANC, U_,81-,863_D;2520;JACA-CANFRANC, U;0,81;0,863;204;BIF. CANFRANC - CANFRANC;0;Derecho;En Servicio/Mantenible;7,;(107207575)DES_L204_JACA-CANFRANC, U_,591-,736_D;53;(107207577)DES_L204_JACA-CANFRANC, U_1,205-1,858_D;27/02/2017;107261762;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;TER_L204_JACA-CANFRANC, U_5,87-5,9_D;2520;JACA-CANFRANC, U;5,87;5,9;204;BIF. CANFRANC - CANFRANC;0;Derecho;En Servicio/Mantenible;12,;(107207588)DES_L204_JACA-CANFRANC, U_5,465-5,767_D;30;(100016215)PU - JACA-CANFRANC, U - 5,983;27/02/2017;107261769;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;TER_L204_JACA-CANFRANC, U_5,87-5,9_I;2520;JACA-CANFRANC, U;5,87;5,9;204;BIF. CANFRANC - CANFRANC;0;Izquierdo;En Servicio/Mantenible;6,7;(107207546)DES_L204_JACA-CANFRANC, U_5,547-5,629_I;30;(100016215)PU - JACA-CANFRANC, U - 5,983;27/02/2017;107261743;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
14116;Vic - VIA;TER_L222_VIC-RIPOLL, U_72,82-73,13_I;3600;VIC-RIPOLL, U;72,82;73,13;222;LA TOUR DE CAROL - BIF. AIGÜES;1;Izquierdo;En Servicio/Mantenible;2,;(190008288)TER_L222_VIC-RIPOLL, U_72,125-72,292_I;310;(107208462)DES_L222_VIC-RIPOLL, U_73,31-73,625_I;;190008290;022220050;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
14116;Vic - VIA;TER_L222_VIC-RIPOLL, U_73,73-74,07_D;3600;VIC-RIPOLL, U;73,73;74,07;222;LA TOUR DE CAROL - BIF. AIGÜES;1;Derecho;En Servicio/Mantenible;3,5;(107208487)DES_L222_VIC-RIPOLL, U_73,25-73,625_D;340;(190008293)TER_L222_VIC-RIPOLL, U_74,105-74,3_D;;190008292;022220050;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
14116;Vic - VIA;TER_L222_VIC-RIPOLL, U_74,105-74,3_D;3600;VIC-RIPOLL, U;74,105;74,3;222;LA TOUR DE CAROL - BIF. AIGÜES;0;Derecho;En Servicio/Mantenible;2,5;(190008292)TER_L222_VIC-RIPOLL, U_73,73-74,07_D;195;(192008290)DES_L222_VIC-RIPOLL, U_74,376-74,492_D;;190008293;022220050;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
14116;Vic - VIA;TER_L222_VIC-RIPOLL, U_76,585-76,9_D;3600;VIC-RIPOLL, U;76,585;76,9;222;LA TOUR DE CAROL - BIF. AIGÜES;1;Derecho;En Servicio/Mantenible;7,8;(107208488)DES_L222_VIC-RIPOLL, U_75,4-76,5_D;315;(100017655)PU - VIC-RIPOLL, U - 77,08;11/09/2015;107262321;022220050;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
