EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Clase de vía;Tipo de asiento - Sobre Balasto;Estado Elemento Inventario;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14116;Vic - VIA;TRMV - 77109 VIC - VIA 2 DE VIC;85937;VIA 2 DE VIC;68,515;69,284;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;;;En Servicio/Mantenible;107464686;022220040;LA GARRIGA-VIC                                                                                                                  ;68,515;69,284
14116;Vic - VIA;TRMV - 77109 VIC - VIA 3 DE VIC;85939;VIA 3 DE VIC;68,809;69,241;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;;;En Servicio/Mantenible;107464687;022220040;LA GARRIGA-VIC                                                                                                                  ;68,809;69,241
14116;Vic - VIA;TRMV - 77109 VIC - VIA 3M DE VIC;604033;VIA 3M DE VIC;69,582;70,276;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;;;En Servicio/Mantenible;107465605;022220040;LA GARRIGA-VIC                                                                                                                  ;69,582;70,276
14116;Vic - VIA;TRMV - 77109 VIC - VIA 4T DE VIC;85941;VIA 4T DE VIC;68,809;69,241;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;;;En Servicio/Mantenible;107465776;022220040;LA GARRIGA-VIC                                                                                                                  ;68,809;69,241
14116;Vic - VIA;TRMV - 77109 VIC - VIA 6T DE VIC;85938;VIA 6T DE VIC;68,872;69,335;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;;;En Servicio/Mantenible;107465770;022220040;LA GARRIGA-VIC                                                                                                                  ;68,872;69,335
14116;Vic - VIA;TRMV - 77109 VIC - VIC-RIPOLL, U;3600;VIC-RIPOLL, U;68,667;70,276;222;2 ;LA TOUR DE CAROL - BIF. AIGÜES;;;En Servicio/Mantenible;107455302;022220050;VIC-LA FARGA DE BEBIE (APD)                                                                                                     ;68,667;96,956
13114;Mora La Nova- VIA;TRMV - 71210 FLIX - VIA 2 DE FLIX;85332;VIA 2 DE FLIX;511,107;511,886;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/Mantenible;107461927;022100100;FAIO-LA POBLA DE MASSALUCA-FLIX                                                                                                 ;511,107;511,886
13114;Mora La Nova- VIA;TRMV - 71210 FLIX - VIA 3 DE FLIX;85333;VIA 3 DE FLIX;510,55;511,842;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/Mantenible;107461937;022100100;FAIO-LA POBLA DE MASSALUCA-FLIX                                                                                                 ;510,55;511,842
13114;Mora La Nova- VIA;TRMV - 71210 FLIX - VIA 4 DE FLIX;85330;VIA 4 DE FLIX;511,659;511,773;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/Mantenible;107461926;022100100;FAIO-LA POBLA DE MASSALUCA-FLIX                                                                                                 ;511,659;511,773
13114;Mora La Nova- VIA;TRMV - 71210 FLIX - VIA 5 DE FLIX;85335;VIA 5 DE FLIX;511,444;511,712;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/Mantenible;107461928;022100100;FAIO-LA POBLA DE MASSALUCA-FLIX                                                                                                 ;511,444;511,712
13114;Mora La Nova- VIA;TRMV - 71211 ASCO - VIA 2 DE ASCO;85338;VIA 2 DE ASCO;517,989;518,693;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/Mantenible;107465084;022100110;FLIX-MORA LA NOVA                                                                                                               ;517,989;518,693
13114;Mora La Nova- VIA;TRMV - 71211 ASCO - VIA 3 DE ASCO;85337;VIA 3 DE ASCO;517,953;518,641;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/Mantenible;107465083;022100110;FLIX-MORA LA NOVA                                                                                                               ;517,953;518,641
13113;Reus - VIA;TRMV - 71400 REUS - VIA 1 DE REUS;996077;VIA 1 DE REUS;578,74;580,341;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/No Mantenible;107465911;022100120;MORA LA NOVA-REUS                                                                                                               ;578,74;580,341
13113;Reus - VIA;TRMV - 71400 REUS - VIA 3 DE REUS;996075;VIA 3 DE REUS;579,092;580,411;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/No Mantenible;107465910;022100120;MORA LA NOVA-REUS                                                                                                               ;579,092;580,411
13113;Reus - VIA;TRMV - 71400 REUS - VIA 5 DE REUS;996074;VIA 5 DE REUS;579,139;579,704;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/No Mantenible;107463676;022100120;MORA LA NOVA-REUS                                                                                                               ;579,139;579,704
13113;Reus - VIA;TRMV - 71400 REUS - VIA 7 DE REUS;85404;VIA 7 DE REUS;578,822;579,729;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/No Mantenible;107465912;022100120;MORA LA NOVA-REUS                                                                                                               ;578,822;579,729
13113;Reus - VIA;TRMV - 71400 REUS - VIA 9 DE REUS;996073;VIA 9 DE REUS;578,868;579,673;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;;;En Servicio/No Mantenible;107463675;022100120;MORA LA NOVA-REUS                                                                                                               ;578,868;579,673
14111;L Hospitalet - VIA;TRMV - 71706 GAVA - VIA 3 DE GAVA;86453;VIA 3 DE GAVA;662,4;663,629;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107463232;022000520;CASTELLDEFELS-EL PRAT DE LLOBREGAT                                                                                              ;662,4;663,629
14111;L Hospitalet - VIA;TRMV - 71706 GAVA - VIA 4 DE GAVA;86452;VIA 4 DE GAVA;662,393;663,288;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107463231;022000520;CASTELLDEFELS-EL PRAT DE LLOBREGAT                                                                                              ;662,393;663,288
14111;L Hospitalet - VIA;TRMV - 71706 GAVA - VIA 5 DE GAVA;85592;VIA 5 DE GAVA;662,746;662,945;200;2 ;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;;;En Servicio/Mantenible;107465369;022000520;CASTELLDEFELS-EL PRAT DE LLOBREGAT                                                                                              ;662,746;662,945
14113;Martorell - VIA;TRMV - 72501 RUBI - VIA 3 DE RUBI;85799;VIA 4 DE RUBI;5,845;6,61;246;2 ;CASTELLBISBAL AGUJAS RUBI - MOLLET-SANT FOST;;;En Servicio/Mantenible;107470447;022460015;CASTELLBISBAL-AGUJAS LLOBREGAT-CERDANYOLA UNIVERSITAT                                                                           ;5,845;6,61
14113;Martorell - VIA;TRMV - 72501 RUBI - VIA 5 DE RUBI;85795;VIA 6 DE RUBI;5,873;6,653;246;2 ;CASTELLBISBAL AGUJAS RUBI - MOLLET-SANT FOST;;;En Servicio/Mantenible;107470317;022460015;CASTELLBISBAL-AGUJAS LLOBREGAT-CERDANYOLA UNIVERSITAT                                                                           ;5,873;6,653
12111;Huesca - VIA;TRMV - 74213 JACA - VIA 2 DE JACA;85868;VIA 2 DE JACA;110,078;110,415;204;2 ;BIF. CANFRANC - CANFRANC;;;En Servicio/Mantenible;107464852;022040040;SANTA MARIA Y LA PEÑA-JACA                                                                                                      ;110,078;110,415
