EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Descripción;Subtipo;Modelo;Estado Elemento Inventario;Radio del aparato;Descripción Elemento Inventario;Número Ap. De Vía;Fecha de Servicio;Fecha de Modificación;Usuario de Modificación;Código Estación Inicio;Estación Inicio;Identificador Antecesores;Id. Raíz;Travesía;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
14116;Vic - VIA;TUD-5M-77109 (VIC);604035;VIA 9M MERCANCIAS DE VIC;69,805;;222;LA TOUR DE CAROL - BIF. AIGÜES;Travesía Unión Doble TUD;;En Servicio/Mantenible;;;5M;;;;77109;VIC;TUD-5M-77109 (VIC);964952;;964952;022220040;LA GARRIGA-VIC                                                                                                                  ;69,79;70,095
13113;Reus - VIA;TUD-11-71400 (REUS);3000;REUS - KM. 590,45, U;579,824;;234;REUS-CONSTANTI;Travesía Unión Doble TUD;TUD-B1-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;Reus travesia 11;11;;15/04/2014;mijtue1;71400;REUS;TUD-11-71400 (REUS);951551;;951551;022340010;REUS-CONSTANTI                                                                                                                  ;579,824;590,45
12105;Ricla-La Almunia - VIA;TUD-15-70706 (GRISEN);85168;VIA 5 DE GRISEN;314,73;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;15;;06/07/2017;8676587;70706;GRISEN;TUD-15-70706 (GRISEN);100685474;Travesía - TUD-A-54-320/225-0.11;100685474;022000220;CAMBIADOR PLASENCIA AG. KM. 308,6-GRISEN                                                                                        ;314,002;314,999
14118;Mataro - VIA;TUD-39-79500 (MATARO);950009;VIA 4 DE MATARO;132,931;;276;MAÇANET-MASSANES - L'HOSPITALET DE LLOBREGAT;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;39;;14/10/2008;CNV;79500;MATARO;TUD-39-79500 (MATARO);100685647;Travesía - TUD-A-54-320/225-0.11;100685647;022760140;MATARO - BIF. SAGRERA-AG.KM. 108,0                                                                                              ;132,014;133,177
12105;Ricla-La Almunia - VIA;TUS-22-70706 (GRISEN);200100;RICLA-ALMUNIA-ZARAGOZA DELICIAS, II;314,17;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Sencilla TUS;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;22;;26/02/2025;E642596;70706;GRISEN;TUS-22-70706 (GRISEN);100685243;Travesía - TUD-A-54-320/225-0.11;100685243;022000220;CAMBIADOR PLASENCIA AG. KM. 308,6-GRISEN                                                                                        ;308,6;314,643
12105;Ricla-La Almunia - VIA;TUS-26-70706 (GRISEN);85166;VIA 8 DE GRISEN;314,216;;200;MADRID-CHAMARTIN-CLARA CAMPOAMOR-BARNA-EST. DE FRANÇA;Travesía Unión Sencilla TUS;TUS-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;26;;26/02/2025;E642596;70706;GRISEN;TUS-26-70706 (GRISEN);100685229;Travesía - TSU-A-54-0.11;100685229;022000220;CAMBIADOR PLASENCIA AG. KM. 308,6-GRISEN                                                                                        ;314,12;314,62
14121;Port Bou;TUD-12-79315 (PORTBOU);200071;BIF. AIGUES -PORT BOU-CERBERE,I;273,639;;270;CERBERE - BIF. ARAGO;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;12;;14/10/2008;CNV;79315;PORTBOU;TUD-12-79315 (PORTBOU);100684012;Travesía - TUD-A-54-320/225-0.11;100684012;022700155;PORTBOU - P.K.274,305(FRONTERA)                                                                                                 ;273,106;274,3
14121;Port Bou;TUD-13-79315 (PORTBOU);604126;VIA 4 DE PORTBOU;272,858;;270;CERBERE - BIF. ARAGO;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;13;;14/10/2008;CNV;79315;PORTBOU;TUD-13-79315 (PORTBOU);100685684;Travesía - TUD-A-54-320/225-0.11;100685684;022700150;FIGUERES-PORTBOU                                                                                                                ;272,719;273,542
14121;Port Bou;TUD-22-79315 (PORTBOU);604129;VIA 10 DE PORTBOU;273,834;;270;CERBERE - BIF. ARAGO;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;22;;14/10/2008;CNV;79315;PORTBOU;TUD-22-79315 (PORTBOU);100685682;Travesía - TUD-A-54-320/225-0.11;100685682;022700150;FIGUERES-PORTBOU                                                                                                                ;272,834;274,668
14121;Port Bou;TUD-24-79315 (PORTBOU);604147;VIA 4/2 DE PORTBOU;273,4;;270;CERBERE - BIF. ARAGO;Travesía Unión Doble TUD;TUD-A-54-320/225-0,11-CR;En Servicio/Mantenible;320/225;;24;01/04/2010;21/04/2020;pearl;79315;PORTBOU;TUD-24-79315 (PORTBOU);965185;Travesía - TUD-A-54-320/225-0.11;965185;022700150;FIGUERES-PORTBOU                                                                                                                ;273,363;273,417
