EQM1 Código;EQM1;Identificador Elemento Inventario;Código Vía;Vía;PK Inicial;PK Final;Línea Código;Línea Eje;Línea Descripción;Denominación;Estado Elemento Inventario;Plan de autoprotección ;Descripción Elemento Inventario;"	Número de vías que contiene el túnel ";Longitud (m);Identificador Antecesores;Id. Raíz;Id. Inventario;Código Trayecto;Trayecto;Trayecto Pk Ini;Trayecto Pk Fin
13114;Mora La Nova- VIA;TU - Flix - 210 - 511,98;2400;MIRAFLORES-REUS, U;511,98;512,229;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;Flix;En Servicio/Mantenible;No;Flix;1;249,;TU - Flix - 210 - 511,98;107094858;107094858;022100110;FLIX-MORA LA NOVA                                                                                                               ;511,627;531,315
14111;L Hospitalet - VIA;TU - Gornal - 250 - ,252;200410;HOSPITALET-BELLVITGE AGUJA K.M. 674,8, U;0,252;1,017;250;2 ;L'HOSPITALET  DE LLOBREGAT - BELLVITGE-AG. KM. 674,8;Gornal;En Servicio/Mantenible;No;Gornal;1;765,;TU - Gornal - 250 - ,252;107094968;107094968;022500010;LHOSPITALET DE LLOBREGAT-BELLVITGE AGUJA KM. 674,8                                                                              ;-0,261;1,265
12111;Huesca - VIA;TU - Jaca 3 - 204 - 4,24;2520;JACA-CANFRANC, U;4,24;4,347;204;2 ;BIF. CANFRANC - CANFRANC;Jaca 3;En Servicio/Mantenible;No;Jaca 3;1;107,;TU - Jaca 3 - 204 - 4,24;107094715;107094715;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;TU - Oval - 204 - 66,572;2510;HOYA DE HUESCA-JACA, U;66,572;66,585;204;2 ;BIF. CANFRANC - CANFRANC;Oval;En Servicio/Mantenible;No;Oval;1;14,;TU - Oval - 204 - 66,572;107094717;107094717;022040040;SANTA MARIA Y LA PEÑA-JACA                                                                                                      ;53,594;110,524
14113;Martorell - VIA;TU - nº 5 - 246 - 11,985;3150;AG. 11 CASTELLBISBAL AG. LLOBREGAT -  BIF. NUDO MOLLET ,I (ANCHO MIXTO);11,985;12,938;246;2 ;CASTELLBISBAL AGUJAS RUBI - MOLLET-SANT FOST;nº 5;En Servicio/Mantenible;No;nº 5 (Univ. Cerdañola);2;873,;TU - nº 5 - 246 - 11,985;107094999;107094999;022460015;CASTELLBISBAL-AGUJAS LLOBREGAT-CERDANYOLA UNIVERSITAT                                                                           ;1,129;13,475
13121;Lleida - VIA;TU - Ager 3 - 893 - 50,11;2600;PK. 1,927 - LA POBLA DE SEGUR, U;50,11;50,174;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Ager 3;En Servicio/No Mantenible;No;Ager 3;1;64,;TU - Ager 3 - 893 - 50,11;107095277;107095277;;;;
13121;Lleida - VIA;TU - Ager 6 - 893 - 51,56;2600;PK. 1,927 - LA POBLA DE SEGUR, U;51,56;51,712;893;2 ;RAMALES DE LA LINEA MADRID-CHAMARTIN - BARNA-SANTS;Ager 6;En Servicio/No Mantenible;No;Ager 6;1;152,;TU - Ager 6 - 893 - 51,56;107094816;107094816;;;;
12108;Caspe - VIA;TU - Fayón - 210 - 488,46;2400;MIRAFLORES-REUS, U;488,46;488,521;210;2 ;MIRAFLORES - SANT VICENÇ DE CALDERS;Fayón;En Servicio/Mantenible;No;Fayón;1;61,;TU - Fayón - 210 - 488,46;107094855;107094855;022100090;CASPE-FAIO-LA POBLA DE MASSALUCA                                                                                                ;453,043;490,231
12111;Huesca - VIA;TU - Jaca 1 - 204 - 1,983;2520;JACA-CANFRANC, U;1,983;2,066;204;2 ;BIF. CANFRANC - CANFRANC;Jaca 1;En Servicio/Mantenible;No;Jaca 1;1;83,;TU - Jaca 1 - 204 - 1,983;107094503;107094503;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
12111;Huesca - VIA;TU - Jaca 2 - 204 - 3,238;2520;JACA-CANFRANC, U;3,238;3,354;204;2 ;BIF. CANFRANC - CANFRANC;Jaca 2;En Servicio/Mantenible;No;Jaca 2;1;116,;TU - Jaca 2 - 204 - 3,238;107094504;107094504;022040050;JACA-CANFRANC                                                                                                                   ;0,31;25,16
